[2026-05-29 23:39:07,182] INFO [pdf_compliance.init_db:178] - Database initialized successfully.
[2026-05-29 23:39:07,842] INFO [pdf_compliance.init_db:19] - Initializing SQLite Database...
[2026-05-29 23:39:07,845] INFO [pdf_compliance.init_db:178] - Database initialized successfully.
[2026-05-29 23:39:09,130] INFO [pdf_compliance.init_db:19] - Initializing SQLite Database...
[2026-05-29 23:39:09,133] INFO [pdf_compliance.init_db:178] - Database initialized successfully.
[2026-05-29 23:39:09,790] INFO [pdf_compliance.init_db:19] - Initializing SQLite Database...
[2026-05-29 23:39:09,792] INFO [pdf_compliance.init_db:178] - Database initialized successfully.
[2026-05-29 23:39:10,362] INFO [pdf_compliance.init_db:19] - Initializing SQLite Database...
[2026-05-29 23:39:10,365] INFO [pdf_compliance.init_db:178] - Database initialized successfully.
[2026-05-29 23:39:10,962] INFO [pdf_compliance.init_db:19] - Initializing SQLite Database...
[2026-05-29 23:39:10,971] INFO [pdf_compliance.init_db:178] - Database initialized successfully.
[2026-05-29 23:39:12,244] INFO [pdf_compliance.init_db:19] - Initializing SQLite Database...
[2026-05-29 23:39:12,250] INFO [pdf_compliance.init_db:178] - Database initialized successfully.
[2026-05-29 23:43:01,717] INFO [pdf_compliance._load_index:33] - Initialized new empty FAISS IndexFlatL2 index.
[2026-05-29 23:43:01,819] INFO [pdf_compliance.init_db:19] - Initializing SQLite Database...
[2026-05-29 23:43:01,819] INFO [pdf_compliance.init_db:178] - Database initialized successfully.
[2026-05-29 23:46:31,403] INFO [pdf_compliance.init_db:19] - Initializing SQLite Database...
[2026-05-29 23:46:31,408] INFO [pdf_compliance.init_db:178] - Database initialized successfully.
[2026-05-29 23:52:10,250] ERROR [pdf_compliance._run_loop:54] - Error in sync pipeline execution: no such table: settings
[2026-05-29 23:52:20,255] ERROR [pdf_compliance._run_loop:54] - Error in sync pipeline execution: no such table: settings
[2026-05-29 23:52:20,360] INFO [pdf_compliance._load_index:33] - Initialized new empty FAISS IndexFlatL2 index.
[2026-05-29 23:52:20,459] INFO [pdf_compliance.init_db:19] - Initializing SQLite Database...
[2026-05-29 23:52:20,466] INFO [pdf_compliance.init_db:158] - Inserted default compliance rules.
[2026-05-29 23:52:20,467] INFO [pdf_compliance.init_db:174] - Inserted default settings.
[2026-05-29 23:52:20,467] INFO [pdf_compliance.init_db:178] - Database initialized successfully.
[2026-05-30 16:59:42,582] INFO [pdf_compliance._load_index:33] - Initialized new empty FAISS IndexFlatL2 index.
[2026-05-30 16:59:42,719] INFO [pdf_compliance.start:39] - Ingestion Sync background daemon started.
[2026-05-30 16:59:42,719] INFO [pdf_compliance.init_db:19] - Initializing SQLite Database...
[2026-05-30 16:59:42,720] INFO [pdf_compliance.init_db:178] - Database initialized successfully.
